City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
478,Kousseri,CM,86.56,overcast clouds,12.0769,15.0306,Le Pilotis
487,Loiza,PR,80.6,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
491,Manokwari,ID,83.46,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
492,Minatitlan,MX,79.03,broken clouds,17.9833,-94.5167,Grand Regency Express
493,Gao,ML,85.06,clear sky,16.6362,1.637,
507,Yenagoa,NG,75.92,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
508,Kandrian,PG,87.46,overcast clouds,-6.2167,149.55,Kandrian Station
511,Charlestown,AU,76.1,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
514,Manaus,BR,79.3,heavy intensity rain,-3.1019,-60.025,Manaus Hotéis Millennium
520,Labuan,MY,82.94,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
524,Cabedelo,BR,77.67,light rain,-6.9811,-34.8339,Hotel Pigalle
525,Coro,VE,78.87,overcast clouds,11.4045,-69.6734,Federal
529,Hobyo,SO,80.08,few clouds,5.3505,48.5268,Iftin hotel hobyo
537,Bonthe,SL,76.48,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
541,Cap Estate,LC,78.42,broken clouds,14.0833,-60.95,Coco Palm Resort
553,Biak,ID,82.94,overcast clouds,-0.9131,122.8766,Penginapan Kim
558,Mayumba,GA,76.68,overcast clouds,-3.432,10.6554,LIKWALE LODGE
559,Jurado,CO,78.21,light rain,7.1053,-77.7641,
562,Harper,LR,77.61,overcast clouds,4.375,-7.7169,Screensaver
566,Kourou,GF,82.11,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
569,Batticaloa,LK,80.11,overcast clouds,7.7102,81.6924,Grand Star Guest House
574,Soe,ID,80.76,broken clouds,-9.8607,124.284,Dena Hotel
575,Gorontalo,ID,85.19,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
578,Claveria,PH,86.61,broken clouds,18.6074,121.0832,Casa Grand Inn By The Sea
585,Srandakan,ID,85.96,overcast clouds,-7.9386,110.2506,Puri Brata
586,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Base Lodging
588,Hervey Bay,AU,75.22,clear sky,-25.2986,152.8535,Shelly Bay Resort
589,Upata,VE,77.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
593,Ler,SS,78.17,light rain,8.3018,30.1418,Leer Humanitarian Hub
595,Kiunga,PG,85.03,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
596,Crestview,US,77.25,clear sky,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
599,Eydhafushi,MV,83.91,light rain,5.1033,73.0708,Soneva Fushi
600,Port Blair,IN,84.06,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
603,Cockburn Town,TC,79.2,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
607,Tabou,CI,77.59,light rain,4.423,-7.3528,hotêl doufoulougou
611,Samarai,PG,84.18,clear sky,-10.6167,150.6667,Nuli Sapi
616,Balikpapan,ID,85.19,moderate rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
619,Carlsbad,US,81.5,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
620,Coahuayana,MX,76.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
622,Malabo,GQ,80.73,light rain,3.75,8.7833,Magno Suites
623,Gizo,SB,83.19,scattered clouds,-8.103,156.8419,Imagination Island
624,Marawi,PH,81.34,broken clouds,7.9986,124.2928,Derogongan Residence
625,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
