City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Marapanim,BR,-0.7175,-47.6997,75.51,96,99,4.7,light rain
172,Mareeba,AU,-17.0,145.4333,84.43,57,48,2.01,scattered clouds
173,Ferrol,ES,43.4832,-8.2369,64.92,96,100,7.63,overcast clouds
174,Tessalit,ML,20.1986,1.0114,79.11,11,0,7.47,clear sky
175,Broome,US,42.2506,-75.833,66.04,87,100,5.01,overcast clouds
176,Ponta Do Sol,PT,32.6667,-17.1,66.7,78,22,8.01,few clouds
177,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.99,99,98,0.76,overcast clouds
178,Oktyabrskiy,RU,54.4815,53.471,51.08,83,14,8.86,few clouds
179,Kavaratti,IN,10.5669,72.642,80.64,82,100,17.31,heavy intensity rain
180,Faanui,PF,-16.4833,-151.75,81.72,64,0,8.25,clear sky
181,Loksa,EE,59.5764,25.7214,42.21,84,13,13.02,few clouds
182,Moose Factory,CA,51.2585,-80.6094,66.2,72,100,23.02,overcast clouds
183,Warri,NG,5.5167,5.75,75.36,96,16,3.09,few clouds
184,Barsovo,RU,61.1667,73.1667,57.33,76,97,9.19,overcast clouds
185,Nchelenge,ZM,-9.3451,28.734,61.56,73,0,7.54,clear sky
186,Majene,ID,-3.5403,118.9707,85.44,71,37,8.21,scattered clouds
187,Hongjiang,CN,27.11,109.9956,54.57,97,100,4.32,overcast clouds
188,Krizevci,HR,46.0219,16.5425,53.29,83,1,0.34,clear sky
189,Acarau,BR,-2.8856,-40.12,78.03,89,56,11.68,broken clouds
190,Padang,ID,-0.9492,100.3543,87.85,69,9,3.22,clear sky
191,Guerrero Negro,MX,27.9769,-114.0611,62.85,76,8,12.39,clear sky
192,Nemuro,JP,43.3236,145.575,46.71,81,91,14.29,overcast clouds
193,Sisimiut,GL,66.9395,-53.6735,24.15,73,12,8.61,few clouds
194,Rundu,NA,-17.9333,19.7667,56.8,42,3,4.72,clear sky
195,Walvis Bay,NA,-22.9575,14.5053,63.09,50,0,6.33,clear sky
196,Lobito,AO,-12.3481,13.5456,73.76,86,0,2.93,clear sky
197,Paita,PE,-5.0892,-81.1144,66.83,80,49,10.98,scattered clouds
198,Skibbereen,IE,51.55,-9.2667,47.1,92,13,7.76,few clouds
199,Baruun-Urt,MN,46.6806,113.2792,61.63,20,22,16.58,few clouds
200,Margate,GB,51.3813,1.3862,59.31,85,78,1.99,broken clouds
201,Ancud,CL,-41.8697,-73.8203,44.82,83,0,5.61,clear sky
202,Polyarnyy,RU,69.1989,33.4478,43.56,71,50,3.31,scattered clouds
203,Staryy Nadym,RU,65.6118,72.6842,45.41,94,90,6.29,overcast clouds
204,Tautira,PF,-17.7333,-149.15,80.58,72,14,10.89,few clouds
205,Novyy Svit,UA,47.8059,38.0211,52.11,90,26,10.11,scattered clouds
206,Emerald,AU,-23.5333,148.1667,82.35,58,36,3.85,scattered clouds
207,Puerto Escondido,MX,15.85,-97.0667,83.52,78,64,6.8,broken clouds
208,Meulaboh,ID,4.1363,96.1285,78.53,91,100,5.03,overcast clouds
209,Pasighat,IN,28.0667,95.3333,72.37,98,100,2.21,overcast clouds
210,Rivne,UA,50.6231,26.2274,45.03,96,28,9.15,scattered clouds
211,Bud,US,39.447,-86.1758,66.22,92,100,2.71,overcast clouds
212,Viedma,AR,-40.8135,-62.9967,48.96,61,6,16.55,clear sky
213,Olga,RU,43.7444,135.2892,60.67,37,6,11.01,clear sky
214,Toora-Khem,RU,52.4675,96.11,67.8,24,7,1.88,clear sky
215,Airai,TL,-8.9266,125.4092,71.46,70,85,2.13,overcast clouds
216,Saskylakh,RU,71.9167,114.0833,32.16,93,100,10.96,overcast clouds
217,Astoria,US,46.1879,-123.8313,53.44,95,100,9.22,mist
218,Lulindi,TZ,-10.8167,39.1333,66.7,89,80,3.4,broken clouds
219,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.6,52,0,6.91,clear sky
220,Razumnoye,RU,50.5344,36.6846,47.48,93,0,8.95,clear sky
221,Katherine,AU,-14.4667,132.2667,93.52,31,0,5.75,clear sky
222,Khatanga,RU,71.9667,102.5,33.96,100,100,11.77,overcast clouds
223,Klobuck,PL,50.9008,18.9367,47.05,82,72,5.77,broken clouds
224,Chokurdakh,RU,70.6333,147.9167,21.43,84,100,1.57,overcast clouds
225,Sur,OM,22.5667,59.5289,85.01,58,0,8.75,clear sky
226,Thinadhoo,MV,0.5333,72.9333,83.08,70,97,9.17,overcast clouds
227,Tari,NG,12.4086,4.4914,87.51,49,47,7.11,scattered clouds
228,Westport,US,41.1415,-73.3579,66.45,96,100,3.44,overcast clouds
229,Novoagansk,RU,61.9449,76.6625,60.13,71,100,9.28,overcast clouds
230,Garowe,SO,8.4054,48.4845,78.67,68,33,19.3,scattered clouds
231,Hualmay,PE,-11.0964,-77.6139,62.83,88,26,7.43,scattered clouds
