City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Luderitz,NA,2022-05-13 21:51:52,-26.6481,15.1594,56.7,62,97,11.68
225,Saryg-Sep,RU,2022-05-13 21:51:52,51.5,95.6,39.7,44,30,3.87
226,Tibati,CM,2022-05-13 21:51:53,6.4667,12.6333,68.02,94,100,5.57
227,Kaitangata,NZ,2022-05-13 21:47:47,-46.2817,169.8464,52.11,90,93,5.7
228,Kaitong,CN,2022-05-13 21:51:54,44.8135,123.15,46.81,43,97,13.78
229,Gao,ML,2022-05-13 21:51:54,16.6362,1.637,92.23,7,49,9.44
230,Great Yarmouth,GB,2022-05-13 21:51:55,52.6083,1.7305,57.45,89,68,9.62
231,Manicore,BR,2022-05-13 21:51:55,-5.8092,-61.3003,80.55,89,100,2.3
232,Nova Granada,BR,2022-05-13 21:52:56,-20.5339,-49.3142,79.05,55,1,5.7
233,Westport,US,2022-05-13 21:52:56,41.1415,-73.3579,77.61,86,35,3.0
234,Huarmey,PE,2022-05-13 21:52:57,-10.0681,-78.1522,67.71,79,46,9.91
235,Lata,PT,2022-05-13 21:52:57,40.1629,-8.3327,65.44,52,100,2.59
236,Husavik,IS,2022-05-13 21:52:58,66.0449,-17.3389,31.35,88,99,3.42
237,Marzuq,YE,2022-05-13 21:52:58,14.4,46.4667,74.21,18,4,3.89
238,Lima,PE,2022-05-13 21:50:55,-12.0432,-77.0282,62.85,77,75,17.27
239,Mogok,MM,2022-05-13 21:52:59,22.9167,96.5,65.64,96,89,4.36
240,Pueblo Nuevo,MX,2022-05-13 21:53:00,23.3833,-105.3833,79.7,32,29,8.59
241,Paita,PE,2022-05-13 21:53:00,-5.0892,-81.1144,69.01,78,67,15.79
242,Saldanha,ZA,2022-05-13 21:53:01,-33.0117,17.9442,51.85,64,90,4.38
243,Nome,US,2022-05-13 21:53:01,64.5011,-165.4064,37.17,52,1,9.84
244,Esperance,AU,2022-05-13 21:53:02,-33.8667,121.9,55.99,64,68,19.62
245,Buenos Aires,AR,2022-05-13 21:52:00,-34.6132,-58.3772,64.29,71,0,8.05
246,Derzhavinsk,KZ,2022-05-13 21:53:02,51.1,66.3167,54.05,64,40,10.36
247,Fairbanks,US,2022-05-13 21:48:56,64.8378,-147.7164,47.01,69,75,5.75
248,Albemarle,US,2022-05-13 21:50:00,35.3501,-80.2001,75.72,74,40,4.61
249,Harper,LR,2022-05-13 21:53:03,4.375,-7.7169,81.09,84,65,9.57
250,Constitucion,CL,2022-05-13 21:53:04,-35.3333,-72.4167,54.19,69,29,12.48
251,Boyuibe,BO,2022-05-13 21:53:05,-20.4167,-63.2833,74.82,56,3,7.76
252,Port Augusta,AU,2022-05-13 21:53:06,-32.5,137.7667,66.69,48,100,16.91
253,Angoche,MZ,2022-05-13 21:53:06,-16.2325,39.9086,71.71,83,29,5.82
254,Papa,HU,2022-05-13 21:53:07,47.33,17.4674,62.31,94,0,6.91
255,Martinsburg,US,2022-05-13 21:53:07,39.4562,-77.9639,75.0,75,98,4.0
